AuthorID,Author,Date,Content,Attachments,Reactions
"216945235194806272","Brian#6170","27-Sep-21 03:43 PM","Hey hopefully someone sees this","","👍 (1)"
"266605113383190528","Tyler#5511","27-Sep-21 03:43 PM","Good luck everyone","",""
"216945235194806272","Brian#6170","27-Sep-21 03:43 PM","I was a little confused about this question, with the C++ theory","https://cdn.discordapp.com/attachments/892147061712101426/892149535546155058/unknown.png",""
"266605113383190528","Tyler#5511","27-Sep-21 03:45 PM","It should be setNumLayers since thickFrosting a private variable inside the cake class and setNumLayers is a method in the cake class","","👍 (1)"
"694654810758053991","kingcobra121#3810","27-Sep-21 03:51 PM","hey @Tyler","","👋 (1)"
"553058473970106408","chiboy505#2307","27-Sep-21 05:41 PM","Since we have an exam this week, Do we still have a lab this week and the lab itself due this sunday?","",""
"497382947771514885","gcevans#8805","27-Sep-21 05:42 PM","You still have lab and it is the same schedule as normal.","","👍 (1)"
"553058473970106408","chiboy505#2307","27-Sep-21 06:51 PM","Is there some place that says what is covered in the exam? Like everything up to iterators (including iterators), or will we see some stuff about trees?","",""
"497382947771514885","gcevans#8805","27-Sep-21 06:52 PM","https://courses.engr.illinois.edu/cs225/fa2021/exams/","",""
"497382947771514885","gcevans#8805","27-Sep-21 06:52 PM","And specifically https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/","","👍 (1)"
"553058473970106408","chiboy505#2307","27-Sep-21 06:52 PM","ok thank you","",""
"475861743810248734","Arjun#2320","27-Sep-21 07:07 PM","Hi, I am part of the online section and filled out the new form for preferences of when to take midterm. I was wondering if there was an estimate to when our times would be confirmed. I had listed my preferences as Wednesday and Thursday but wanted to ensure that my Tuesday schedule is clear in case I am put in the Tuesday morning/evening slot by chance.","",""
"241539910689882112","Deifoor#6969","27-Sep-21 07:27 PM","How similar are the exams going to be to the practice exam?","",""
"694654810758053991","kingcobra121#3810","27-Sep-21 08:01 PM","how do you get the multiply by 2 and add n for this answer?","https://cdn.discordapp.com/attachments/892147061712101426/892214321805926421/q2_cs225midterm1.jpg",""
"272796232525676545","venkatrao1#5079","27-Sep-21 08:02 PM","wouldn't this be 2S(n/2) + 2n?","",""
"236143009211744256","anonamause10#8084","27-Sep-21 08:10 PM","just n at the end, cuz theres only one merge","",""
"690376209506238464","prague#8966","27-Sep-21 08:48 PM","this was asked on Piazza as well, but are the practice exams going to be available starting tomorrow?","",""
"271460892028174337","dumdedums#3256","27-Sep-21 08:48 PM","they better be","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:19 PM","","https://cdn.discordapp.com/attachments/892147061712101426/892234107151581246/Screen_Shot_2021-09-27_at_9.18.56_PM.png",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:20 PM","Can anyone point out and explain which two are correct?","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:20 PM","I understand e is def correct","",""
"170390681922043905","b00ts#8756","27-Sep-21 09:21 PM","D","",""
"170390681922043905","b00ts#8756","27-Sep-21 09:21 PM","As well","",""
"170390681922043905","b00ts#8756","27-Sep-21 09:22 PM","To insert something at an index is O(1) for array list","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:26 PM","but if we insert something outside of the size","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:26 PM","we need to copy everything","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:27 PM","and then insert it","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:27 PM","like we need to create a new array with a larger size and add everything from our old array back to our new one","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:27 PM","Wouldn't it be O(logn) or something","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:28 PM","I remember prof walked us thru the time complexity","",""
"512326345729114112","mersaults#1657","27-Sep-21 09:31 PM","Notice that answer specifically says *amortized* time complexity. This means that in the vast majority of cases the algorithm runs in O(1) time, but very infrequently it will run in O(n)","",""
"512326345729114112","mersaults#1657","27-Sep-21 09:35 PM","Technically, the time complexity of an arbitrary array insert is O(n) since that's the worst case, but it's unnecessarily pessimistic to think of it this way. So, we use amortized analysis because it gives us a much better picture of the actual asymptotic upper bound since it's almost like taking the average over a sequence of operations","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:35 PM","Ok ok","",""
"220748728745721856","Thom.s#5339","27-Sep-21 09:35 PM","Thank you so much 🙏","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 09:51 PM","What is an operator<< is for an iterator? Why would it need one?","https://cdn.discordapp.com/attachments/892147061712101426/892242190011629648/unknown.png",""
"512326345729114112","mersaults#1657","27-Sep-21 09:53 PM","operator<< is the output stream override. The question is asking what operators iterators **don't** implement","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 09:54 PM","Ohhhh. Thanks","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:01 PM","They are quite similar in question style and structure but not exactly in length or question balance.","",""
"241539910689882112","Deifoor#6969","27-Sep-21 10:01 PM","Ah, will the exam be longer?","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:01 PM","I am afraid I don't have an answer to that I thought that Prof. Beckman had intended to get stuff out tonight but I am not sure.","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:04 PM","The practice exams are available now until the end of the semester. Later exams will have some questions pulled from the earlier material so they will still be there for practice later.","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:04 PM","Similar mostly the practice is just pulling from three pools where is there is more control to make sure that there is even coverage on the actual exam.","",""
"690376209506238464","prague#8966","27-Sep-21 10:04 PM","thank you!","",""
"241539910689882112","Deifoor#6969","27-Sep-21 10:05 PM","thank you!","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:10 PM","Do this question assume deleting the data does not change were elements in the array are located or are they pushed up once? I assumed it would delete 2 like in my drawing.","https://cdn.discordapp.com/attachments/892147061712101426/892246952325029938/unknown.png",""
"497382947771514885","gcevans#8805","27-Sep-21 10:12 PM","It is unsorted so you can swap the element to remove with either head or tail whichever lets you remove without shifting.","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:13 PM","Ok, that makes sense","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:15 PM","Does ""implemented in the best possible way"" mean it has a tail? What would make this runtime O(1)? &(*head_ + sizeOfList * bytes used per type) to get last element?","https://cdn.discordapp.com/attachments/892147061712101426/892248246855041074/unknown.png",""
"512326345729114112","mersaults#1657","27-Sep-21 10:17 PM","The runtime would be O(1) in the case where the singly linked list is sorted in reverse order (greatest to smallest)","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:17 PM","It's an O(1) access operation because you just fetch the head.","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:17 PM","Ok","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:17 PM","Alternatively, the list is sorted in regular fashion and you get the tail pointer, which is O(1) as well","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:32 PM","Does time complexity refer to average case? I thought it would refer to worst case where count overflows","https://cdn.discordapp.com/attachments/892147061712101426/892252413518561280/unknown.png",""
"272796232525676545","venkatrao1#5079","27-Sep-21 10:32 PM","I think O() means average.","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:33 PM","What does answer e mean?","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:33 PM","Big O is not average it is just a upperbound.","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:34 PM","It is saying that after n operations it take O(n) time.","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:34 PM","B is incorrect because saying **each** insert is O(n) which is incorrect. There are some inserts which are O(1) and some which are O(n).","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:35 PM","D is definitely incorrect because there's no way that with a sane dynamic array implementation you would have a O(n^2) runtime on every insert","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:38 PM","E is correct but it's something that you have to intuit:

Note that an insert to an array with our implementation takes O(1) in the vast majority of cases. This means that over a sequence of n inserts you're going to have a total runtime of O(n)","","👍 (3)"
"512326345729114112","mersaults#1657","27-Sep-21 10:39 PM","This doesn't mean that Big O here is anything other than worst case. Despite the fact that your worst case dynamic array insert is O(n), the worst possible case over a sequence of operations is that you have a few operations which end up being O(n). Note that this is distinct because it's over a *sequence* of operations.","",""
"264076002290958339","dk#6030","27-Sep-21 10:41 PM","Wait but if Big O is an upperbound, then why is d incorrect?","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:41 PM","It's impossible (even in the worst possible scenario) to have n O(n) operations (giving us O(n^2), because we aren't resizing the array n times.","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:42 PM","O(n^2) is above the possible minimal upper bound for this operation. How could you have a scenario where each insert takes O(n^2) time?","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:43 PM","If O(n) is an upper bound, isn't O(n^2) an upper bound?","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:44 PM","If that was the case, wouldn't that defeat the purpose of doing big O analysis here entirely?","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:44 PM","Yeah","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:44 PM","So why is it asking us that?","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:44 PM","I don't follow","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:45 PM","It's an incorrect answer, no?","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:45 PM","Is it? I don't know","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:46 PM","In the screenshot e) is explicitly marked as the correct answer","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:46 PM","I'm asking why. Technically the computer thinks its correct","",""
"264076002290958339","dk#6030","27-Sep-21 10:47 PM","but can't it still be an upperbound? I thought big Theta was used to talk about a strict upper bound, so in this cause big Theta would be theta(n)","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:47 PM","I don't think we're on the same page here. e) has nothing to do with O(n) vs O(n^2) as your per-operation upper bound.","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:48 PM","True. Why are b and d not correct?","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:48 PM","See this above explanation","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:49 PM","Big theta is the tight bound of a function. I'm not sure what this has to do with Big-O here in this case but I suppose technically it's AN upperbound and they're kind of used interchangeably here","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:49 PM","For answer b, why can't O(n) be an upperbound for all the O(1) and O(n)?","",""
"401899795783876618","Liseiden#9948","27-Sep-21 10:51 PM","Is there a list anywhere of all the terms we need to know? I took Math213 instead of CS173 and it seems like a lot of the terms are just called different things or done differently, so I don't want to miss anything","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:51 PM","One of the things going on here is that while big-O is in math an upper bound that is not how it is used in CS really. Sometimes we are ideal in the wording of the questions. That is you could say that mergesort is O(n!) and a math prof would say fine and in a theory class someone might say ok but that is not how it it is used.","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:51 PM","We use it more as this is the best big-O we can find.","","👍 (1)"
"512326345729114112","mersaults#1657","27-Sep-21 10:51 PM","Because the question specifies that insert is O(n) on EACH operation. Insert IS O(n) in the worst case, but it is incorrect to say that it is O(n) is on every case.","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:52 PM","In many questions we  have fixed it to talk about tightest bound but not alwyas.","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:53 PM","Ok. Thanks guys","",""
"401899795783876618","Liseiden#9948","27-Sep-21 10:58 PM","plugging this q again 🥺","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 10:58 PM","Is this problem referring to an array or stack or both or are they the same?","https://cdn.discordapp.com/attachments/892147061712101426/892258975821729882/unknown.png",""
"512326345729114112","mersaults#1657","27-Sep-21 10:58 PM","See this page https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:59 PM","https://courses.engr.illinois.edu/cs225/fa2021/exams/exam1/ the recomended chapters are linked.","",""
"512326345729114112","mersaults#1657","27-Sep-21 10:59 PM","There's not a list of terms, but this has all of the CS173 information that you need to know","",""
"497382947771514885","gcevans#8805","27-Sep-21 10:59 PM","The problem is referring to the implementation given above.","",""
"401899795783876618","Liseiden#9948","27-Sep-21 10:59 PM","ah ok thanks","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:00 PM","The stack which is referenced is implemented using an underlying array, which is why both are mentioned here","",""
"335977335763369984","ThatSmertKid#9286","27-Sep-21 11:03 PM","I get why e is correct. Is b or d correct?","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:04 PM","B is correct. See the proof which was done in class about this specific problem if you need more context as to why","",""
"401899795783876618","Liseiden#9948","27-Sep-21 11:06 PM","what operations are iterators guaranteed to supply?","",""
"497382947771514885","gcevans#8805","27-Sep-21 11:12 PM","operator++ operator!= and operator*","",""
"401899795783876618","Liseiden#9948","27-Sep-21 11:16 PM","👍 thanks","",""
"216945235194806272","Brian#6170","27-Sep-21 11:38 PM","","https://cdn.discordapp.com/attachments/892147061712101426/892269062036525116/Screen_Shot_2021-09-27_at_11.38.31_PM.png",""
"216945235194806272","Brian#6170","27-Sep-21 11:39 PM","We have A and C being the correct answers here right?","",""
"401899795783876618","Liseiden#9948","27-Sep-21 11:39 PM","yes","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:39 PM","Correct","",""
"216945235194806272","Brian#6170","27-Sep-21 11:39 PM","Amortized = the usual case scenario, worst case being when the whole array needs to be copied, which is O(3N)?","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:40 PM","Amortized is still the worst case scenario.","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:40 PM","Even in the worst case scenario, you only have an O(n) operation happen sometimes.","",""
"216945235194806272","Brian#6170","27-Sep-21 11:40 PM","so wait, what's the difference then between those two?","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:42 PM","Amortized is saying ""hey we have this operation which over a sequence of operations is O(1) most of the time but is very infrequently O(n)""","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:45 PM","It's kind of like evaluating the average runtime over an entire sequence of operations, where that sequence of operations is considered one giant worst case. Even in worst case we end up in a scenario where only some of our insertions are O(n)","",""
"216945235194806272","Brian#6170","27-Sep-21 11:48 PM","ok I gotchu","",""
"216945235194806272","Brian#6170","27-Sep-21 11:48 PM","But amortized is the concept that it's O(1) most of the time right","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:49 PM","That's probably the easiest way to think about it","","🙂 (1)"
"512326345729114112","mersaults#1657","27-Sep-21 11:51 PM","Another way that you could look at it is that amortized analysis is kind of like looking at runtime from the perspective of the entire algorithm rather than a singular operation","",""
"401899795783876618","Liseiden#9948","27-Sep-21 11:52 PM","i'm kinda scared for this exam 🤔 i feel like they could put a lot of weird stuff on it","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:55 PM","All of CS225's exams are intended to be reasonable and straightforward. When I took the class I never really felt like the exams had any questions that came from completely out of left field","",""
"512326345729114112","mersaults#1657","27-Sep-21 11:55 PM","If you're doing well on the practice exams and you feel confident, chances are you'll be fine","",""
"401899795783876618","Liseiden#9948","27-Sep-21 11:57 PM","hm ok then, thanks 🙂","",""
"415294152943599626","jofish#3333","28-Sep-21 01:03 AM","how do three different values get stored into i here?","https://cdn.discordapp.com/attachments/892147061712101426/892290297470525440/unknown.png",""
"335977335763369984","ThatSmertKid#9286","28-Sep-21 01:03 AM","Line 1, 4, and 5","",""
"335977335763369984","ThatSmertKid#9286","28-Sep-21 01:04 AM","1: i is initialized with 0","",""
"335977335763369984","ThatSmertKid#9286","28-Sep-21 01:04 AM","4: i is set to 2","",""
"335977335763369984","ThatSmertKid#9286","28-Sep-21 01:05 AM","5: The place the pointer is pointing to is set to 3. The pointer is pointing to where i is located because of line 2","",""
"415294152943599626","jofish#3333","28-Sep-21 01:05 AM","gotcha, thank you","",""
"745978761497018438","yubin#6428","28-Sep-21 01:07 AM","for question 13, is none of the statements true??","https://cdn.discordapp.com/attachments/892147061712101426/892291377566732338/unknown.png",""
"745978761497018438","yubin#6428","28-Sep-21 01:07 AM","i thought the runtime is O(1) for removing at the end","",""
"415294152943599626","jofish#3333","28-Sep-21 01:08 AM","the question is how do you get to the end if you don't have a tail pointer?","",""
"415294152943599626","jofish#3333","28-Sep-21 01:08 AM","that's kind of the logic I used for this problem","",""
"745978761497018438","yubin#6428","28-Sep-21 01:09 AM","yeah if you dont have a tail pointer, you need to go through the list until you get to the end. so i thought the answer would be II and IV","",""
"415294152943599626","jofish#3333","28-Sep-21 01:13 AM","but the thing is since singly-linked lists can never go backwards, even if you delete the last node at the tail, you need to make the second to last element the new tail","",""
"415294152943599626","jofish#3333","28-Sep-21 01:13 AM","which you'd have to go through the entire list to get to","",""
"745978761497018438","yubin#6428","28-Sep-21 01:14 AM","ohhh i see i see","",""
"745978761497018438","yubin#6428","28-Sep-21 01:14 AM","so the only correct option would be IV","",""
"745978761497018438","yubin#6428","28-Sep-21 01:14 AM","thank u!!","",""
"415294152943599626","jofish#3333","28-Sep-21 01:17 AM","no problem! i'm also trying to understand this too haha","",""
"404216237711818754","Minh#3179","28-Sep-21 10:29 AM","Wait I thought IV is correct? Why would the answer be none of the other options is correct?","",""
"404216237711818754","Minh#3179","28-Sep-21 10:30 AM","I’m still confused about this answer","",""
"846513641687482429","mikel#4385","28-Sep-21 10:36 AM","i think 4 is correct, but none of the options are just 4 so youre saying none of the options are correct","","☝️ (4)"
"608115723478499374","Stea1thTornado#8402","28-Sep-21 10:36 AM","none of the options refers to the choices you can pick in the answer, not to 1,2,3,4 directly","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:20 PM","Why aren't all 3 statements correct?  I am confident (d) and (e) are correct because we went over that in lecture, but isn't (a) also correct?  Like this implementation is faster than the +2 resize one, but it uses more memory?","https://cdn.discordapp.com/attachments/892147061712101426/892460776319774850/why_not_3.PNG",""
"159836666620542976","Burrito#6016","28-Sep-21 12:22 PM","True, but lines B and D aren't going to help that","",""
"159836666620542976","Burrito#6016","28-Sep-21 12:22 PM","The line above B could be changed to use less memory","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:23 PM","lmfao","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:23 PM","im brainded","",""
"159836666620542976","Burrito#6016","28-Sep-21 12:23 PM","Though, I guess you could just use T[size_-num]","",""
"159836666620542976","Burrito#6016","28-Sep-21 12:23 PM","🤔","",""
"159836666620542976","Burrito#6016","28-Sep-21 12:23 PM","I dont like that question","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:23 PM","i don't like any question","",""
"497382947771514885","gcevans#8805","28-Sep-21 12:25 PM","There is no good way you can improve that code only modifying B and D. Actually that code really is optimal under any non-edge case array structure.","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:25 PM","ok thx!","",""
"497382947771514885","gcevans#8805","28-Sep-21 12:26 PM","We talked in lecture about why doubling is the way to extend your array and went through the proof.","",""
"497382947771514885","gcevans#8805","28-Sep-21 12:26 PM","And other than that there is not much going on in that code.","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:29 PM","Is big O in this class like big Theta I learned in MATH 213?  So like best case rather than upper bound?","",""
"585681239428825120","jdcampolargo#5883","28-Sep-21 12:29 PM","Could anyone please explain this one?","https://cdn.discordapp.com/attachments/892147061712101426/892463073263226950/Screen_Shot_2021-09-28_at_12.29.21_PM.png",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:30 PM","lol i just used n=4 and plugged in numbers","",""
"310533231529426945","Bobnana#5342","28-Sep-21 12:30 PM","XD","",""
"608115723478499374","Stea1thTornado#8402","28-Sep-21 12:32 PM","Big O is used to describe asymptotic upper bound, Big Ω is is used to describe asymptotic lower bound, and Big Θ is used to describe kind of the average","",""
"608115723478499374","Stea1thTornado#8402","28-Sep-21 12:32 PM","so they are related, but not identical","",""
"608115723478499374","Stea1thTornado#8402","28-Sep-21 12:34 PM","in not technical terms, big O is worst case, big Ω is best case, and big Θ is average","",""
